  1 7495.4711354697665229 [was, is, for, with, of, as, to, and, in, the]
 75  266.8589766727101846 [valley, by, areas, road, area, mountain, river, near, government, park]
 76  266.0870084916896303 [island, important, river, boat, forces, built, army, ship, into, government]
 77  263.1819714042600253 [rock, neighborhoods, natural, zealand, abstract, faced, awards, prestigious, neighborhood, award]
 78  261.0309891658193351 [copper, links, trade, gold, cavalry, brigade, into, down, infantry, regiment]
 79  260.0761559640001224 [stock, land, internet, editor, period, party, was, economic, underground, novel]
 80  258.7972920057508759 [guitar, captain, bass, steel, cc, cable, percussion, us, ethnic, italian]
 81  257.1832189806445399 [film, highest, born, called, ranked, described, loss, an, age, lost]
 82  255.7877885718674804 [ability, issue, begin, report, act, largely, article, capable, started, began]
 83  254.0362463186986020 [primarily, he, before, after, numerous, near, at, in, various, into]
 84  250.3033525640107655 [brick, centre, be, are, remain, get, performance, been, become, range]
 85  248.5856317563762161 [were, mm, bush, educational, resolution, campaign, re, trade, allmusic, consists]
 86  247.4041744296532102 [could, located, get, album, got, were, was, largest, near, been]
 87  245.9532695074108233 [bomber, position, canal, longer, surrounding, test, arsenal, flying, crashed, assistant]
 88  244.4843929593947962 [battle, against, term, served, discovered, deputy, appointed, engineering, became, style]
 89  240.9682450582190256 [sep, created, progressive, wing, oct, nationwide, writers, who, largest, campaign]
 90  239.6286092014607050 [difficulties, address, interior, race, extremely, renaissance, interstate, language, runs, problems]
 91  237.6201960803327324 [sixth, fourth, been, second, are, third, have, were, largest, river]
 92  234.3450564300706844 [suffered, awarded, award, current, winner, release, based, minor, material, edition]
 93  231.8649268053353580 [de, passengers, queensland, defence, killed, ports, coastal, australian, earl, un]
 94  230.8193142180007271 [minute, secret, wearing, speed, fishing, declined, numerous, length, cost, species]
 95  229.7980089441868756 [athletic, employment, agriculture, mostly, canada, verse, mainly, quebec, western, primarily]
 96  228.5503224931648276 [received, provides, large, car, under, began, continued, occurred, different, independent]
 97  226.9981926417428895 [et, editor, magazine, de, des, newspaper, french, la, du, le]
 98  225.6859736763981061 [growing, timber, weapons, ocean, towards, scientific, toward, mining, administrative, agriculture]
 99  223.6737139434470407 [comics, yards, rounds, rd, irish, th, season, sf, science, aviation]
100  221.8821559895193332 [seventh, coach, rd, degree, fourth, sixth, nominated, th, football, fifth]
